x,y,color
108.10563378106202,699.8544747951802,3
102.66656062946589,700.6848600261948,3
109.44951753508597,700.6184592069029,3
103.21430195017868,701.3156564552369,3
106.77796175199899,701.1110680728567,3
107.85556960845886,704.7907752248436,3
110.63314994748026,701.0050237698965,3
106.55984158252448,703.8549915835904,3
102.53945089399211,698.5322775080373,3
99.20664960411743,700.1376025483823,3
99.60562158130251,704.346508878072,3
95.78717145867746,703.7977306580042,3
92.31128520637115,697.1269247026393,3
95.90894419055657,703.9298334684196,3
88.68551828919549,706.092103930881,3
94.11949075672784,705.9080160641065,3
93.9208626381526,704.8798520108472,3
94.61382278178074,708.4085441972278,3
92.96427965579443,700.0566314579766,3
84.96345073314978,706.8628944673012,3
82.55061506850164,702.385384917883,3
80.1373444775135,705.948270726803,3
80.11749257291754,713.5691740303398,3
84.38831439678214,711.1453905114537,3
77.90929490122986,715.3926310796359,3
69.62515004174898,713.434009274626,3
72.19894978243583,717.8462128068035,3
69.63193887408922,720.674286123569,3
69.0488571190884,727.7056306025446,3
72.65495580133495,727.4360234598396,3
74.66887400578238,718.7303962704598,3
66.29858574093754,732.5550371991386,3
69.61202655507773,733.7870728783603,3
60.922891472732175,735.2310335662168,3
53.602451848970816,740.4688637095179,3
58.11007666032443,742.2760150596561,3
61.680718940343915,733.5007665405694,3
51.47532095248098,750.2375604631782,3
50.98753068671311,745.852390765577,3
48.723047585657234,745.9116916877729,3
49.36575072158567,752.8324502525704,3
51.90484558782638,753.9958242258087,3
52.05469720219163,753.3111572550991,3
51.156905008264566,763.3693198673001,3
48.89935913896743,755.5123484657955,3
49.87372693420147,754.5373396262029,3
47.845586189463404,759.8510715396314,3
48.88053568312987,761.1317081270537,3
40.30207061909365,766.1631347651784,3
46.674249087016,761.5631994919072,3
47.28843544340556,761.7708774338948,3
41.18339735454366,770.3025519120733,3
48.05655850099164,772.1469130801173,3
47.77964791596024,770.9714104778176,3
44.26642905232889,763.445640727002,3
44.72590508888571,775.5988734788704,3
47.441587607910826,769.9639564645869,3
38.7566667159201,769.5435564016851,3
36.813943742043264,778.4134663513056,3
38.00799493275693,778.6158233148554,3
44.939024621898746,778.1895315638184,3
36.19786766461059,773.4617772848515,3
35.315015540273315,773.9553284974851,3
45.11578938985817,779.5327522804051,3
34.90258179997609,775.4406171485281,3
35.004466276014924,773.7818262985861,3
43.511063965851484,773.0837799632592,3
38.443153441549036,778.8226794183715,3
44.58279019270114,780.7576078151052,3
36.11372919622299,775.7071641110988,3
36.75391244397755,776.9401474088,3
36.928380086999866,773.6465898734574,3
43.716020524394516,775.2326330488037,3
43.437526522565705,783.6186593251966,3
35.858187936441745,778.0101941373609,3
43.41146082354731,783.9913970046349,3
36.01585901928572,781.0322886087729,3
41.785550210894804,782.3872449609885,3
39.63332888843975,785.7886406955251,3
44.49307502329142,779.374805281837,3
35.6151273071018,786.9913881543744,3
43.3222838330989,783.5510396221011,3
44.7555269854289,784.4321462615558,3
